site_id,gravity
EQPA,980066.399
EQQG,979790.466
EQQR,979974.706
EQR2,980084.076
F6BW,979966.075
EQRL,980269.208
F6CG,980012.084
EQT7,980028.836
ER0H,980088.822
EQLW,979815.395
F6CH,980018.639
EQM9,979933.781
EQMH,980074.391
EQMT,980255.707
EQN4,979954.663
EQNC,979920.073
EQNN,980091.902
F6BX,980162.331
EQP9,980043.322
F6BY,979922.148
EQPU,979942.063
EQQ6,980265.651
EQQA,980046.171
EQQB,979983.726
EQQC,980001.287
EQQD,980007.458
EQQE,979951.506
EQQF,979901.606
F6C0,980010.998
EQQH,979961.155
EQQJ,979978.286
EQQK,980060.323
F6CJ,979823.368
F6CK,979926.232
EQQM,979922.845
F6C1,979908.067
EQQN,979927.597
EQQP,980063.931
EQQQ,979972.428
EQQT,980006.692
EQQU,980051.609
EQQV,979794.454
EQQW,980020.28
EQQX,979932.868
EQQY,979798.047
EQR0,980219.913
F6CL,979869.905
F6C2,979943.556
EQR1,979985.682
EQR3,979909.955
EQR4,979810.392
EQR5,979822.872
EQR6,980028.881
EQR7,979971.048
EQR8,979793.439
F6CM,979848.013
EQR9,979904.528
EQRA,980023.585
EQRB,979798.65
F6CN,979850.971
EQRC,979787.953
EQRD,980125.435
EQRE,980084.949
EQRF,980124.595
F6C3,979821.405
EQRG,980077.874
EQRH,979800.87
EQRJ,979931.287
EQRK,979964.09
EQRM,979939.607
EQRN,979973.936
EQRP,979784.803
EQRQ,979946.536
EQRR,979973.999
EQRT,980064.58
EQRU,979973.846
F6CP,979817.691
EQRV,979997.477
EQRW,980215.539
EQRX,980001.323
EQRY,979992.235
F6CQ,979866.603
EQT0,980054.455
EQT1,979822.65
EQT2,979865.319
EQT3,980189.931
EQT4,979976.274
EQT5,979963.125
EQT6,980004.971
EQT8,979928.117
EQT9,980084.816
EQTA,980099.526
EQTB,980010.352
EQTC,980057.586
EQTD,979986.158
EQTE,979936.822
EQTF,979859.294
EQTG,980072.313
EQTH,979988.809
EQLM,979999.236
EQLN,979930.142
EQLP,979757.584
EQLQ,980060.14
EQLR,980086.703
EQLT,980088.01
EQLU,979955.263
EQLV,980157.239
F6CR,980008.205
F6CT,980036.775
EQLX,979994.817
