# meter_id,G1110
counter_reading,value_mgal,interval_factor
0,0.00,1.01872
100,101.87,1.01867
200,203.74,1.01863
300,305.60,1.01859
400,407.46,1.01857
500,509.32,1.01856
600,611.17,1.01856
700,713.03,1.01857
800,814.89,1.01858
900,916.75,1.01861
1000,1018.61,1.01864
1100,1120.47,1.01868
1200,1222.34,1.01873
1300,1324.21,1.01879
1400,1426.09,1.01885
1500,1527.98,1.01892
1600,1629.87,1.01900
1700,1731.77,1.01908
1800,1833.68,1.01917
1900,1935.59,1.01927
2000,2037.52,1.01937
2100,2139.46,1.01947
2200,2241.40,1.01958
2300,2343.36,1.01969
2400,2445.33,1.01981
2500,2547.31,1.01993
2600,2649.30,1.02005
2700,2751.31,1.02018
2800,2853.33,1.02030
2900,2955.36,1.02043
3000,3057.40,1.02056
3100,3159.46,1.02069
3200,3261.53,1.02082
3300,3363.61,1.02095
3400,3465.70,1.02109
3500,3567.81,1.02122
3600,3669.93,1.02135
3700,3772.07,1.02148
3800,3874.22,1.02160
3900,3976.38,1.02173
4000,4078.55,1.02185
4100,4180.73,1.02197
4200,4282.93,1.02208
4300,4385.14,1.02220
4400,4487.36,1.02230
4500,4589.59,1.02241
4600,4691.83,1.02251
4700,4794.08,1.02260
4800,4896.34,1.02268
4900,4998.61,1.02276
5000,5100.89,1.02284
5100,5203.17,1.02290
5200,5305.46,1.02296
5300,5407.76,1.02301
5400,5510.06,1.02305
5500,5612.36,1.02309
5600,5714.67,1.02311
5700,5816.98,1.02312
5800,5919.29,1.02313
5900,6021.61,1.02312
6000,6123.92,1.02310
6100,6226.23,1.02307
6200,6328.54,1.02302
6300,6430.84,1.02297
6400,6533.13,1.02290
6500,6635.42,1.02282
6600,6737.71,1.02272
6700,6839.98,1.02261
6800,6942.24,1.02248
6900,7044.49,1.02234
7000,7146.72,
