Stat_ID,Meter,Date,Grav,TC_Grav,Tide,Lat,Long,Long_Level,Cross_Level,Temp,Volts,Counter,Height,loop
home,D37,11/28/2024T18:01:55,  -7.442,-7.474,0.032,-38.141923,176.294290,-6101,18078,49.2,11.7,0.000,0.000,7
home,D37,11/28/2024T18:01:59,  -7.441,-7.473,0.032,-38.141922,176.294288,-6088,18078,49.2,11.9,0.000,0.000,7
home,D37,11/28/2024T18:02:00,  -7.443,-7.474,0.031,-38.141923,176.294288,-6090,18077,49.2,11.9,0.000,0.000,7
home,D37,11/28/2024T18:02:01,  -7.444,-7.475,0.031,-38.141923,176.294288,-6091,18095,49.2,11.9,0.000,0.000,7
home,D37,11/28/2024T18:02:02,  -7.447,-7.478,0.031,-38.141923,176.294288,-6093,18076,49.2,11.9,0.000,0.000,7
home,D37,11/28/2024T18:02:03,  -7.449,-7.480,0.031,-38.141925,176.294288,-6094,18078,49.2,11.9,0.000,0.000,7
home,D37,11/28/2024T18:02:03,  -7.451,-7.482,0.031,-38.141925,176.294288,-6094,18079,49.2,11.9,0.000,0.000,7
home,D37,11/28/2024T18:02:04,  -7.455,-7.486,0.031,-38.141927,176.294288,-6096,18079,49.1,11.9,0.000,0.000,7
home,D37,11/28/2024T18:02:05,  -7.458,-7.489,0.031,-38.141933,176.294287,-6094,18086,49.1,11.9,0.000,0.000,7
home,D37,11/28/2024T18:02:07,  -7.461,-7.492,0.031,-38.141940,176.294283,-6093,18083,49.2,11.8,0.000,0.000,7
home,D37,11/28/2024T18:02:08,  -7.465,-7.496,0.031,-38.141942,176.294282,-6091,18077,49.2,11.7,0.000,0.000,7
home,D37,11/28/2024T18:02:09,  -7.469,-7.500,0.031,-38.141943,176.294280,-6090,18076,49.2,11.7,0.000,0.000,7
home,D37,11/28/2024T18:02:10,  -7.474,-7.505,0.031,-38.141945,176.294280,-6092,18080,49.2,11.8,0.000,0.000,7
home,D37,11/28/2024T18:02:10,  -7.479,-7.510,0.031,-38.141945,176.294280,-6094,18083,49.2,11.8,0.000,0.000,7
B278-0,D37,11/28/2024T19:24:56, -15.346,-15.316,-0.030,-38.264043,176.169832,-5916,18024,49.2,11.7,0.000,0.000,7
B278-1,D37,11/28/2024T19:24:59, -15.340,-15.310,-0.030,-38.264042,176.169832,-5913,18031,49.2,11.6,0.000,0.000,7
B278-2,D37,11/28/2024T19:25:00, -15.338,-15.308,-0.030,-38.264043,176.169832,-5912,18030,49.2,11.6,0.000,0.000,7
B278-3,D37,11/28/2024T19:25:01, -15.336,-15.306,-0.030,-38.264043,176.169832,-5911,18026,49.2,11.5,0.000,0.000,7
B278-4,D37,11/28/2024T19:25:02, -15.335,-15.305,-0.030,-38.264040,176.169835,-5912,18031,49.2,11.5,0.000,0.000,7
B278-5,D37,11/28/2024T19:25:03, -15.334,-15.304,-0.030,-38.264042,176.169835,-5910,18032,49.2,11.7,0.000,0.000,7
B278-6,D37,11/28/2024T19:25:04, -15.334,-15.304,-0.030,-38.264040,176.169833,-5910,18033,49.2,11.7,0.000,0.000,7
B278-7,D37,11/28/2024T19:25:04, -15.333,-15.303,-0.030,-38.264040,176.169833,-5909,18034,49.2,11.7,0.000,0.000,7
B278-8,D37,11/28/2024T19:25:05, -15.333,-15.303,-0.030,-38.264047,176.169833,-5909,18033,49.2,11.7,0.000,0.000,7
B278-9,D37,11/28/2024T19:25:07, -15.334,-15.304,-0.030,-38.264037,176.169832,-5910,18031,49.2,11.7,0.000,0.000,7
B278-10,D37,11/28/2024T19:25:08, -15.334,-15.304,-0.030,-38.264038,176.169832,-5908,18025,49.2,11.7,0.000,0.000,7
B278-11,D37,11/28/2024T19:25:09, -15.335,-15.305,-0.030,-38.264042,176.169832,-5914,18024,49.2,11.7,0.000,0.000,7
B278-12,D37,11/28/2024T19:25:10, -15.336,-15.306,-0.030,-38.264053,176.169833,-5912,18024,49.2,11.7,0.000,0.000,7
B278-13,D37,11/28/2024T19:25:11, -15.338,-15.308,-0.030,-38.264052,176.169833,-5909,18023,49.2,11.7,0.000,0.000,7
RGON,D37,11/28/2024T20:14:11, -69.304,-69.235,-0.069,-38.256585,176.232277,-6023,18192,49.2,11.6,0.000,0.000,7
RGON,D37,11/28/2024T20:14:13, -69.305,-69.236,-0.069,-38.256585,176.232277,-6025,18194,49.2,11.6,0.000,0.000,7
RGON,D37,11/28/2024T20:14:13, -69.305,-69.236,-0.069,-38.256585,176.232277,-6025,18194,49.2,11.6,0.000,0.000,7
RGON,D37,11/28/2024T20:14:15, -69.305,-69.236,-0.069,-38.256585,176.232278,-6022,18196,49.2,11.4,0.000,0.000,7
RGON,D37,11/28/2024T20:14:16, -69.305,-69.236,-0.069,-38.256585,176.232278,-6014,18188,49.2,11.6,0.000,0.000,7
RGON,D37,11/28/2024T20:14:17, -69.305,-69.236,-0.069,-38.256587,176.232278,-6013,18194,49.2,11.6,0.000,0.000,7
RGON,D37,11/28/2024T20:14:18, -69.305,-69.236,-0.069,-38.256587,176.232278,-6025,18194,49.2,11.6,0.000,0.000,7
RGON,D37,11/28/2024T20:14:19, -69.305,-69.236,-0.069,-38.256587,176.232280,-6026,18193,49.2,11.6,0.000,0.000,7
RGON,D37,11/28/2024T20:14:20, -69.305,-69.236,-0.069,-38.256587,176.232280,-6022,18187,49.2,11.6,0.000,0.000,7
