obs_id,site_id,loop,residual,timedelta,active
ACNN.1584392880.001,ACNN,1,0.00697,0.00000,True
ACNN.1584393120.001,ACNN,1,0.00516,0.06667,True
ACNN.1584393180.001,ACNN,1,0.00471,0.08333,True
WP93.1584397740.001,WP93,1,-0.01051,1.35000,True
WP93.1584397740.002,WP93,1,-0.01051,1.35000,True
WP93.1584397800.001,WP93,1,-0.01107,1.36667,True
WP146.1584398640.001,WP146,1,-0.00331,1.60000,True
WP146.1584398640.002,WP146,1,-0.00331,1.60000,True
WP146.1584398700.001,WP146,1,0.00662,1.61667,True
WP140.1584399360.001,WP140,1,0.00132,1.80000,True
WP140.1584399540.001,WP140,1,-0.00038,1.85000,True
WP140.1584399600.001,WP140,1,-0.00094,1.86667,True
WP143.1584401040.001,WP143,1,0.00055,2.26667,True
WP143.1584401100.001,WP143,1,-0.00000,2.28333,True
WP143.1584401160.001,WP143,1,-0.00055,2.30000,True
WP144.1584402900.001,WP144,1,0.00087,2.78333,True
WP144.1584403020.001,WP144,1,-0.00017,2.81667,True
WP144.1584403080.001,WP144,1,-0.00070,2.83333,True
WP93.1584403980.001,WP93,1,0.00607,3.08333,True
WP93.1584404040.001,WP93,1,0.00557,3.10000,True
WP93.1584404040.002,WP93,1,0.00557,3.10000,True
WP98.1584404880.001,WP98,1,-0.00000,3.33333,True
WP98.1584404880.002,WP98,1,-0.00000,3.33333,True
WP98.1584404880.003,WP98,1,-0.00000,3.33333,True
WP139.1584407040.001,WP139,1,-0.00263,3.93333,True
WP139.1584407160.001,WP139,1,-0.00344,3.96667,True
WP139.1584407220.001,WP139,1,-0.00384,3.98333,True
WP138.1584407700.001,WP138,1,0.00089,4.11667,True
WP138.1584407880.001,WP138,1,-0.00025,4.16667,True
WP138.1584407940.001,WP138,1,-0.00063,4.18333,True
WP96.1584411360.001,WP96,1,0.00008,5.13333,True
WP96.1584411360.002,WP96,1,0.00008,5.13333,True
WP96.1584411420.001,WP96,1,-0.00016,5.15000,True
WP93.1584412560.001,WP93,1,0.00730,5.46667,True
WP93.1584412560.002,WP93,1,0.00730,5.46667,True
WP93.1584412620.001,WP93,1,0.00710,5.48333,True
ACNN.1584416340.001,ACNN,1,-0.00445,6.51667,True
ACNN.1584416460.001,ACNN,1,-0.00460,6.55000,True
ACNN.1584416520.001,ACNN,1,-0.00467,6.56667,True
ACNN.1584477840.001,ACNN,2,-0.00888,0.00000,True
ACNN.1584477960.001,ACNN,2,0.00130,0.03333,True
ACNN.1584478020.001,ACNN,2,0.00114,0.05000,True
WP93.1584481200.001,WP93,2,0.00169,0.93333,True
WP93.1584481320.001,WP93,2,0.00097,0.96667,True
WP93.1584481380.001,WP93,2,0.00060,0.98333,True
WP148.1584482460.001,WP148,2,0.00159,1.28333,True
WP148.1584482760.001,WP148,2,-0.00058,1.36667,True
WP148.1584482820.001,WP148,2,-0.00102,1.38333,True
WP141.1584484080.001,WP141,2,0.00050,1.73333,True
WP141.1584484140.001,WP141,2,0.00000,1.75000,True
WP141.1584484200.001,WP141,2,-0.00050,1.76667,True
WP142.1584485520.001,WP142,2,0.00056,2.13333,True
WP142.1584485580.001,WP142,2,0.00000,2.15000,True
WP142.1584485640.001,WP142,2,-0.00056,2.16667,True
WP147.1584486840.001,WP147,2,0.00119,2.50000,True
WP147.1584487020.001,WP147,2,-0.00060,2.55000,True
WP147.1584487020.002,WP147,2,-0.00060,2.55000,True
WP139.1584488340.001,WP139,2,-0.00327,2.91667,True
WP139.1584488400.001,WP139,2,0.00659,2.93333,True
WP139.1584488400.002,WP139,2,0.00659,2.93333,True
WP93.1584489120.001,WP93,2,0.00000,3.13333,False
WP93.1584489240.001,WP93,2,0.00000,3.16667,False
WP93.1584489300.001,WP93,2,0.00000,3.18333,False
WP99.1584490620.001,WP99,2,0.00126,3.55000,True
WP99.1584490800.001,WP99,2,-0.00063,3.60000,True
WP99.1584490800.002,WP99,2,-0.00063,3.60000,True
WP136.1584491940.001,WP136,2,-0.00493,3.91667,True
WP136.1584492240.001,WP136,2,0.00247,4.00000,True
WP136.1584492240.002,WP136,2,0.00247,4.00000,True
WP95.1584493080.001,WP95,2,0.00219,4.23333,True
WP95.1584493380.001,WP95,2,-0.00080,4.31667,True
WP95.1584493440.001,WP95,2,-0.00139,4.33333,True
WP145.1584495780.001,WP145,2,0.00086,4.98333,True
WP145.1584495900.001,WP145,2,-0.00017,5.01667,True
WP145.1584495960.001,WP145,2,-0.00069,5.03333,True
WP93.1584496980.001,WP93,2,0.00000,5.31667,False
WP93.1584497220.001,WP93,2,-0.01004,5.38333,True
WP93.1584497280.001,WP93,2,-0.00001,5.40000,True
WP149.1584498360.001,WP149,2,0.00095,5.70000,True
WP149.1584498540.001,WP149,2,-0.00027,5.75000,True
WP149.1584498600.001,WP149,2,-0.00068,5.76667,True
ACNN.1584501000.001,ACNN,2,-0.00497,6.43333,True
ACNN.1584501300.001,ACNN,2,0.00414,6.51667,True
ACNN.1584501300.002,ACNN,2,0.00414,6.51667,True
AGUP.1591832880.001,AGUP,3,0.00026,0.00000,True
AGUP.1591833000.001,AGUP,3,-0.00014,0.03333,True
AGUP.1591833000.002,AGUP,3,-0.00014,0.03333,True
OG32.1591836960.001,OG32,3,-0.00871,1.13333,True
OG32.1591837020.001,OG32,3,0.00173,1.15000,True
OG32.1591837020.002,OG32,3,0.00173,1.15000,True
OG36.1591840500.001,OG36,3,0.00700,2.11667,True
OG36.1591840620.001,OG36,3,-0.00350,2.15000,True
OG36.1591840620.002,OG36,3,-0.00350,2.15000,True
OG37.1591842180.001,OG37,3,0.00000,2.58333,True
OG37.1591842180.002,OG37,3,0.00000,2.58333,True
OG37.1591842240.001,OG37,3,-0.00001,2.60000,True
OG38.1591843440.001,OG38,3,0.00001,2.93333,True
OG38.1591843440.002,OG38,3,0.00001,2.93333,True
OG38.1591843500.001,OG38,3,-0.00001,2.95000,True
OG34.1591845120.001,OG34,3,0.00005,3.40000,True
OG34.1591845180.001,OG34,3,0.00000,3.41667,True
OG34.1591845240.001,OG34,3,-0.00005,3.43333,True
OG33.1591846320.001,OG33,3,0.00005,3.73333,True
OG33.1591846380.001,OG33,3,-0.00003,3.75000,True
OG33.1591846380.002,OG33,3,-0.00003,3.75000,True
OG32.1591846980.001,OG32,3,0.00743,3.91667,True
OG32.1591847040.001,OG32,3,0.00734,3.93333,True
OG32.1591847040.002,OG32,3,0.00734,3.93333,True
AGUP.1591850100.001,AGUP,3,0.00144,4.78333,True
AGUP.1591850100.002,AGUP,3,-0.00905,4.78333,True
AGUP.1591850160.001,AGUP,3,-0.00923,4.80000,True
AGUP.1591916760.001,AGUP,4,0.00000,0.00000,False
AGUP.1591916880.001,AGUP,4,0.01579,0.03333,True
AGUP.1591917000.001,AGUP,4,0.01543,0.06667,True
OG29.1591922160.001,OG29,4,-0.00693,1.50000,True
OG29.1591922220.001,OG29,4,-0.00684,1.51667,True
OG29.1591922280.001,OG29,4,-0.00675,1.53333,True
OG16.1591923060.001,OG16,4,-0.00022,1.75000,True
OG16.1591923180.001,OG16,4,0.00004,1.78333,True
OG16.1591923240.001,OG16,4,0.00018,1.80000,True
OG09.1591923900.001,OG09,4,-0.00011,1.98333,True
OG09.1591923960.001,OG09,4,0.00005,2.00000,True
OG09.1591923960.002,OG09,4,0.00005,2.00000,True
OG07.1591924860.001,OG07,4,-0.00000,2.25000,True
OG07.1591924860.002,OG07,4,-0.00000,2.25000,True
OG07.1591924860.003,OG07,4,-0.00000,2.25000,True
OG05.1591925640.001,OG05,4,-0.01527,2.46667,True
OG05.1591925700.001,OG05,4,-0.01504,2.48333,True
OG05.1591925760.001,OG05,4,-0.01481,2.50000,True
OG29.1591926720.001,OG29,4,0.00675,2.76667,True
OG29.1591926720.002,OG29,4,0.00675,2.76667,True
OG29.1591926780.001,OG29,4,0.00701,2.78333,True
OG32.1591929120.001,OG32,4,-0.00582,3.43333,True
OG32.1591929180.001,OG32,4,-0.00552,3.45000,True
OG32.1591929180.002,OG32,4,-0.00552,3.45000,True
OG31.1591929900.001,OG31,4,-0.00020,3.65000,True
OG31.1591929960.001,OG31,4,0.00010,3.66667,True
OG31.1591929960.002,OG31,4,0.00010,3.66667,True
OG20.1591930980.001,OG20,4,-0.00031,3.95000,True
OG20.1591931040.001,OG20,4,-0.00000,3.96667,True
OG20.1591931100.001,OG20,4,0.00031,3.98333,True
OG28.1591932000.001,OG28,4,-0.00021,4.23333,True
OG28.1591932060.001,OG28,4,0.00010,4.25000,True
OG28.1591932060.002,OG28,4,0.00010,4.25000,True
OG27.1591932840.001,OG27,4,-0.00030,4.46667,True
OG27.1591932900.001,OG27,4,0.00000,4.48333,True
OG27.1591932960.001,OG27,4,0.00030,4.50000,True
OG05.1591934040.001,OG05,4,0.01475,4.80000,True
OG05.1591934100.001,OG05,4,0.01504,4.81667,True
OG05.1591934160.001,OG05,4,0.01533,4.83333,True
AGUP.1591935360.001,AGUP,4,-0.00524,5.16667,True
AGUP.1591935480.001,AGUP,4,-0.00470,5.20000,True
AGUP.1591935540.001,AGUP,4,-0.00443,5.21667,True
AGUP.1592252280.001,AGUP,5,0.00162,0.00000,True
AGUP.1592252400.001,AGUP,5,0.00162,0.03333,True
AGUP.1592252460.001,AGUP,5,0.00686,0.05000,True
AGUP.1592252520.001,AGUP,5,0.00162,0.06667,True
OK100.1592254920.001,OK100,5,0.00028,0.73333,True
OK100.1592254980.001,OK100,5,-0.00509,0.75000,True
OK100.1592255040.001,OK100,5,-0.00521,0.76667,True
OK100.1592255100.001,OK100,5,-0.00534,0.78333,True
OK101.1592256540.001,OK101,5,0.00137,1.18333,True
OK101.1592256600.001,OK101,5,-0.00408,1.20000,True
OK101.1592256660.001,OK101,5,0.00096,1.21667,True
OK101.1592256720.001,OK101,5,0.00075,1.23333,True
OK103.1592259180.001,OK103,5,-0.00462,1.91667,True
OK103.1592259240.001,OK103,5,-0.00493,1.93333,True
OK103.1592259360.001,OK103,5,0.00493,1.96667,True
OK103.1592259420.001,OK103,5,0.00461,1.98333,True
OK102.1592261700.001,OK102,5,0.00038,2.61667,True
OK102.1592261760.001,OK102,5,0.00000,2.63333,True
OK102.1592261820.001,OK102,5,-0.00038,2.65000,True
OK104.1592262480.001,OK104,5,-0.00135,2.83333,True
OK104.1592262540.001,OK104,5,-0.00175,2.85000,True
OK104.1592262600.001,OK104,5,0.00310,2.86667,True
OK105.1592263320.001,OK105,5,-0.00332,3.06667,True
OK105.1592263380.001,OK105,5,0.00152,3.08333,True
OK105.1592263440.001,OK105,5,0.00111,3.10000,True
OK105.1592263500.001,OK105,5,0.00070,3.11667,True
OK106.1592264700.001,OK106,5,0.00216,3.45000,True
OK106.1592264760.001,OK106,5,-0.00350,3.46667,True
OK106.1592264820.001,OK106,5,0.00134,3.48333,True
OK107.1592265540.001,OK107,5,0.00162,3.68333,True
OK107.1592265600.001,OK107,5,-0.00242,3.70000,True
OK107.1592265660.001,OK107,5,0.00080,3.71667,True
OK101.1592266740.001,OK101,5,-0.00102,4.01667,True
OK101.1592266800.001,OK101,5,-0.00141,4.03333,True
OK101.1592266860.001,OK101,5,0.00344,4.05000,True
OK108.1592267700.001,OK108,5,0.00037,4.28333,True
OK108.1592267760.001,OK108,5,-0.00000,4.30000,True
OK108.1592267820.001,OK108,5,-0.00037,4.31667,True
OK100.1592268420.001,OK100,5,-0.00121,4.48333,True
OK100.1592268480.001,OK100,5,0.00368,4.50000,True
OK100.1592268540.001,OK100,5,0.00858,4.51667,True
OK109.1592269260.001,OK109,5,-0.00143,4.71667,True
OK109.1592269320.001,OK109,5,-0.00175,4.73333,True
OK109.1592269380.001,OK109,5,0.00318,4.75000,True
OK110.1592270820.001,OK110,5,-0.00424,5.15000,True
OK110.1592270880.001,OK110,5,-0.00449,5.16667,True
OK110.1592270940.001,OK110,5,-0.00474,5.18333,True
OK111.1592271840.001,OK111,5,0.00020,5.43333,True
OK111.1592271900.001,OK111,5,-0.00000,5.45000,True
OK111.1592271960.001,OK111,5,-0.00020,5.46667,True
OK112.1592272620.001,OK112,5,0.00015,5.65000,True
OK112.1592272680.001,OK112,5,-0.00000,5.66667,True
OK112.1592272740.001,OK112,5,-0.00015,5.68333,True
OK113.1592273400.001,OK113,5,0.00011,5.86667,True
OK113.1592273460.001,OK113,5,-0.00000,5.88333,True
OK113.1592273520.001,OK113,5,-0.00010,5.90000,True
OK110.1592274780.001,OK110,5,-0.00316,6.25000,True
OK110.1592274840.001,OK110,5,0.00206,6.26667,True
OK110.1592274900.001,OK110,5,0.00729,6.28333,True
OK110.1592274960.001,OK110,5,0.00728,6.30000,True
OK114.1592275740.001,OK114,5,-0.00182,6.51667,True
