site_id,n_obs,absolute_gravity,variance,stdev,stderr
ACNN,12,979968.07800,0.00004,0.00604,0.00174
AGUP,68,979963.87200,0.00004,0.00604,0.00073
OG05,6,979896.34300,0.00001,0.00344,0.00141
OG07,3,979884.89370,0.00002,0.00431,0.00249
OG09,3,979871.52998,0.00002,0.00436,0.00252
OG16,3,979876.25787,0.00002,0.00442,0.00255
OG20,3,979858.82907,0.00002,0.00427,0.00247
OG27,3,979872.40933,0.00002,0.00438,0.00253
OG28,3,979864.16185,0.00002,0.00432,0.00250
OG29,6,979883.66702,0.00001,0.00356,0.00145
OG31,3,979837.52354,0.00002,0.00423,0.00245
OG32,9,979824.62573,0.00001,0.00274,0.00091
OG33,3,979816.87333,0.00002,0.00429,0.00248
OG34,3,979826.63828,0.00002,0.00422,0.00244
OG36,3,979799.01942,0.00002,0.00414,0.00239
OG37,3,979819.04667,0.00002,0.00413,0.00239
OG38,3,979820.11610,0.00002,0.00416,0.00240
OK100,20,979889.22601,0.00000,0.00190,0.00043
OK101,7,979877.07084,0.00001,0.00297,0.00112
OK102,3,979864.50796,0.00002,0.00396,0.00228
OK103,4,979828.56641,0.00001,0.00360,0.00180
OK104,3,979865.06045,0.00002,0.00395,0.00228
OK105,4,979874.73666,0.00001,0.00353,0.00177
OK106,3,979881.91085,0.00002,0.00393,0.00227
OK107,3,979888.32920,0.00002,0.00393,0.00227
OK108,3,979888.68339,0.00002,0.00394,0.00227
OK109,3,979883.89393,0.00002,0.00395,0.00228
OK110,7,979854.90202,0.00001,0.00305,0.00115
OK111,3,979843.61979,0.00002,0.00400,0.00231
OK112,3,979844.43558,0.00002,0.00402,0.00232
OK113,3,979853.19091,0.00002,0.00404,0.00233
OK114,3,979861.91694,0.00002,0.00411,0.00237
OK115,3,979903.09629,0.00002,0.00396,0.00229
OK116,6,979947.69422,0.00001,0.00300,0.00122
OK117,3,979915.62983,0.00002,0.00406,0.00234
OK118,3,979906.03074,0.00002,0.00403,0.00233
OK120,3,979894.78550,0.00002,0.00396,0.00229
OK121,4,979893.22573,0.00001,0.00352,0.00176
OK122,3,979968.43905,0.00002,0.00388,0.00224
OK123,3,979960.95592,0.00002,0.00388,0.00224
OK124,3,979955.52697,0.00002,0.00388,0.00224
OK125,3,979944.31806,0.00002,0.00389,0.00224
OK126,3,979945.36547,0.00002,0.00390,0.00225
OK127,3,979931.92852,0.00002,0.00392,0.00226
OK128,3,979936.04784,0.00002,0.00393,0.00227
OK129,3,979932.62533,0.00002,0.00395,0.00228
OK130,3,979931.15448,0.00002,0.00397,0.00229
OK131,3,979931.06824,0.00002,0.00400,0.00231
OK133,6,979927.93657,0.00009,0.00934,0.00381
OK134,3,979918.60046,0.00008,0.00890,0.00514
OK135,3,979910.44919,0.00009,0.00961,0.00555
OK136,3,979914.26488,0.00011,0.01026,0.00592
OK137,1,979929.81273,0.00032,0.01776,0.01776
OK138,3,979907.96072,0.00020,0.01409,0.00814
OK138A,6,979991.53618,0.00001,0.00304,0.00124
OK139,3,979912.41073,0.00023,0.01502,0.00867
OK139A,6,979996.26403,0.00001,0.00293,0.00119
OK140,3,979923.27911,0.00025,0.01592,0.00919
OK140A,3,979990.23905,0.00002,0.00397,0.00229
OK141,3,979932.62896,0.00027,0.01653,0.00954
OK141A,10,979967.20120,0.00001,0.00238,0.00075
OK142,3,979954.16421,0.00002,0.00387,0.00224
OK143,3,979958.63543,0.00001,0.00386,0.00223
OK144,6,979948.69238,0.00001,0.00292,0.00119
OK145,3,979951.80616,0.00001,0.00384,0.00222
OK146,10,979940.01756,0.00001,0.00236,0.00075
OK147,3,979937.68570,0.00001,0.00382,0.00221
OK148,6,979940.05068,0.00001,0.00284,0.00116
OK149,3,979967.14830,0.00001,0.00386,0.00223
OK150,3,979974.74825,0.00002,0.00388,0.00224
OK151,3,979994.99789,0.00002,0.00390,0.00225
OK171,3,979941.27126,0.00015,0.01214,0.00701
OK172,6,979938.28141,0.00005,0.00713,0.00291
OK174,3,979957.58050,0.00006,0.00752,0.00434
OK176,3,979986.58631,0.00004,0.00663,0.00383
OK177,6,979946.08735,0.00001,0.00312,0.00127
OK178,3,979959.23932,0.00002,0.00398,0.00230
OK179,3,979953.96012,0.00002,0.00395,0.00228
OK180,3,979942.13914,0.00002,0.00391,0.00226
OK181,3,979949.55563,0.00002,0.00389,0.00224
OK182,3,979962.26178,0.00002,0.00396,0.00229
OK183,3,979939.44345,0.00002,0.00411,0.00237
OK184,4,979929.63683,0.00001,0.00375,0.00188
OK185,6,979934.44872,0.00001,0.00342,0.00140
OK186,3,979945.21618,0.00002,0.00421,0.00243
OK187,3,979962.36989,0.00002,0.00436,0.00252
OK188,6,979930.23275,0.00001,0.00355,0.00145
OK189,3,979930.03683,0.00002,0.00443,0.00256
OK190,6,979894.26942,0.00001,0.00350,0.00143
OK191,3,979877.27775,0.00002,0.00428,0.00247
OK192,3,979956.85745,0.00002,0.00397,0.00229
OK193,6,979949.22049,0.00001,0.00310,0.00126
OK194,7,979930.71020,0.00001,0.00325,0.00123
OK195,3,979905.45853,0.00002,0.00407,0.00235
OK196,3,979890.57407,0.00002,0.00410,0.00236
OK197,6,979878.58070,0.00001,0.00334,0.00136
OK198,3,979869.02913,0.00002,0.00416,0.00240
OK199,3,979902.89436,0.00002,0.00426,0.00246
OK200,3,979900.59116,0.00002,0.00429,0.00248
OK201,3,979947.46874,0.00002,0.00455,0.00263
OK202,3,979937.29973,0.00002,0.00450,0.00260
OK203,3,979932.65609,0.00002,0.00447,0.00258
OK204,3,979914.34426,0.00002,0.00442,0.00255
OK205,3,979895.43816,0.00002,0.00438,0.00253
OK206,3,979901.29916,0.00002,0.00433,0.00250
OK207,6,979928.01715,0.00001,0.00354,0.00145
OK208,3,979918.51414,0.00002,0.00430,0.00248
OK209,3,979907.41364,0.00002,0.00434,0.00250
OK210,3,979960.44123,0.00002,0.00456,0.00263
OK211,3,979957.40425,0.00002,0.00465,0.00269
OK212,3,979961.03823,0.00002,0.00470,0.00271
OK213,3,979950.26189,0.00002,0.00475,0.00274
OK214,6,979884.59947,0.00001,0.00324,0.00132
OK215,3,979882.32456,0.00002,0.00421,0.00243
OK216,3,979892.94147,0.00002,0.00417,0.00241
OK217,6,979888.08400,0.00001,0.00330,0.00135
OK218,3,979888.73326,0.00002,0.00411,0.00237
OK219,3,979894.19944,0.00002,0.00408,0.00236
OK220,3,979905.38810,0.00002,0.00407,0.00235
OK221,6,979940.75028,0.00001,0.00328,0.00134
OK222,3,979938.09841,0.00002,0.00408,0.00236
OK223,3,979929.41494,0.00002,0.00410,0.00237
OK224,3,979921.97464,0.00002,0.00412,0.00238
WP136,3,979933.39150,0.00002,0.00408,0.00236
WP138,3,979925.54290,0.00002,0.00408,0.00235
WP139,6,979927.62748,0.00001,0.00303,0.00124
WP140,3,979945.22493,0.00002,0.00416,0.00240
WP141,3,979942.70460,0.00002,0.00414,0.00239
WP142,3,979936.21002,0.00002,0.00409,0.00236
WP143,3,979937.29125,0.00002,0.00411,0.00237
WP144,3,979941.63743,0.00002,0.00406,0.00235
WP145,3,979938.19433,0.00002,0.00423,0.00244
WP146,3,979941.31369,0.00002,0.00420,0.00242
WP147,3,979943.66446,0.00002,0.00406,0.00235
WP148,3,979940.25128,0.00002,0.00421,0.00243
WP149,3,979945.23274,0.00002,0.00439,0.00253
WP93,14,979935.32999,0.00001,0.00240,0.00064
WP95,3,979929.38721,0.00002,0.00412,0.00238
WP96,3,979921.28721,0.00002,0.00420,0.00243
WP98,3,979936.57685,0.00002,0.00405,0.00234
WP99,3,979932.60198,0.00002,0.00406,0.00234
